custcode,Año,Trimestre,Mes,Día,Tipo_Cliente,Total abono,declinecause,saldo,Baja
464291,2018,Trim. 2,junio,15,Residencial,883.24,INCOB,3145.66,1
464291,2017,Trim. 1,enero,12,Residencial,0,RAZON,1741.09,0
464292,2016,Trim. 1,marzo,2,Residencial,0,DISCO,0,0
464292,2017,Trim. 3,agosto,23,Residencial,0,DISCO,0,0
464292,2017,Trim. 4,octubre,6,Residencial,0,DISCO,0,0
464292,2018,Trim. 2,junio,15,Residencial,295.87,INCOB,0,1
464292,2016,Trim. 4,diciembre,7,Residencial,0,MUDAN,0,0
464300,2019,Trim. 3,septiembre,4,Residencial,0,INCOB,2187.06,0
464302,2016,Trim. 4,diciembre,29,Residencial,0,RAZON,635.48,0
464303,2016,Trim. 4,diciembre,29,Residencial,0,RAZON,660.49,0
464318,2018,Trim. 1,marzo,26,Residencial,0,CAMBI,-260.26,0
464322,2017,Trim. 2,abril,24,Residencial,401.82,INCOB,1873.25,1
464325,2018,Trim. 3,julio,4,Residencial,594.03,INCOB,1410.28,1
464328,2018,Trim. 1,enero,31,Residencial,592.3399999999999,PROEC,0,1
464330,2019,Trim. 1,marzo,26,Residencial,785.07,CIERR,0,1
464332,2019,Trim. 4,noviembre,15,Residencial,935.83,MUDAN,0,1
464333,2019,Trim. 1,enero,3,Residencial,785.07,CIERR,679.36,1
464334,2016,Trim. 4,octubre,25,Residencial,534.92,CIERR,-605.43,1
464341,2019,Trim. 2,abril,22,Residencial,1215.4299999999998,CIERR,0,1
464342,2016,Trim. 1,marzo,28,Residencial,0,RAZON,0,0
464346,2019,Trim. 4,noviembre,22,Residencial,0,CAMBI,0,0
464346,2016,Trim. 3,septiembre,26,Residencial,0,DISCO,0,0
464355,2018,Trim. 1,enero,9,Residencial,0,RAZON,0,0
464365,2016,Trim. 2,junio,24,Residencial,0,CAMEM,0,0
464378,2017,Trim. 2,junio,28,Residencial,949.36,DISCO,1148.73,1
464384,2017,Trim. 1,enero,3,Residencial,0,CAMBI,504.9,0
464389,2018,Trim. 4,noviembre,12,Residencial,0,NOUSA,0,0
464389,2019,Trim. 2,abril,5,Residencial,1118,NOUSA,0,1
464390,2016,Trim. 2,junio,16,Residencial,514.88,CIERR,0,1
464391,2018,Trim. 1,marzo,27,Residencial,0,DISCO,0,0
464391,2018,Trim. 3,julio,12,Residencial,1178.08,INCOB,1366.45,1
464393,2019,Trim. 1,marzo,14,Residencial,0,MUDAN,0,0
464397,2017,Trim. 1,enero,10,Residencial,0,CIERR,0,0
464397,2018,Trim. 1,marzo,6,Residencial,0,RAZON,1839.21,0
464401,2019,Trim. 3,agosto,26,Residencial,873.84,CIERR,0,1
464403,2019,Trim. 2,mayo,15,Residencial,997.41,NOUSA,0,1
464427,2019,Trim. 4,octubre,7,Residencial,872,CIERR,0,1
464432,2018,Trim. 1,marzo,20,Residencial,0,CAMEM,752.92,0
464437,2019,Trim. 2,abril,4,Residencial,706,PROEC,0,1
464446,2015,Trim. 4,diciembre,29,Residencial,0,RAZON,0,0
464448,2016,Trim. 4,noviembre,14,Residencial,299.17,DISCO,0,1
464449,2016,Trim. 2,junio,6,Residencial,440.57000000000005,CIERR,0,1
464450,2016,Trim. 2,junio,6,Residencial,,MUDAN,0,1
464458,2016,Trim. 1,marzo,4,Residencial,0,INCOB,615.4,0
464458,2019,Trim. 2,abril,1,Residencial,602.48,INCOB,938.96,1
464459,2016,Trim. 2,mayo,13,Residencial,0,INCOB,990.93,0
464459,2019,Trim. 1,marzo,26,Residencial,175.92,INCOB,212.86,1
464465,2016,Trim. 4,noviembre,24,Residencial,0,CIERR,0,0
464466,2016,Trim. 4,noviembre,24,Residencial,0,CIERR,0,0
464466,2017,Trim. 4,diciembre,1,Residencial,657,DISCO,0,1
464468,2016,Trim. 4,noviembre,9,Residencial,0,CAMBI,464,0
464475,2016,Trim. 1,marzo,4,Residencial,299.17,INCOB,590.06,1
464485,2016,Trim. 1,enero,15,Residencial,,NOUSA,0,1
464496,2017,Trim. 1,enero,17,Residencial,0,DISCO,0,0
464496,2017,Trim. 1,marzo,1,Residencial,438.18999999999994,DISCO,0,1
464499,2019,Trim. 1,enero,2,Residencial,0,DISCO,0,0
464501,2018,Trim. 1,enero,10,Residencial,0,NOUSA,0,0
464505,2017,Trim. 2,abril,11,Residencial,0,DISCO,957.82,0
464509,2016,Trim. 2,abril,19,Residencial,159.35,CIERR,198.39,1
464511,2019,Trim. 3,agosto,13,Residencial,726.63,CIERR,1758.44,1
464512,2017,Trim. 3,septiembre,20,Residencial,0,CIERR,0,0
464520,2016,Trim. 1,marzo,28,Residencial,299.17,CAMEM,1329.27,1
464522,2017,Trim. 1,enero,26,Residencial,438.18999999999994,DISCO,0,1
464524,2018,Trim. 2,abril,12,Residencial,0,PROEC,0,0
464526,2018,Trim. 1,enero,18,Residencial,2187.17,CIERR,-94.1,1
464528,2017,Trim. 2,mayo,10,Residencial,388,CIERR,0,1
464529,2016,Trim. 4,noviembre,25,Residencial,0,INCOB,0,0
464544,2017,Trim. 1,febrero,20,Residencial,296.17999999999995,CIERR,0,1
464549,2016,Trim. 4,noviembre,25,Residencial,0,INCOB,3793.52,0
464550,2016,Trim. 2,mayo,2,Residencial,0,CAMBI,772.14,0
464552,2019,Trim. 4,diciembre,23,Residencial,0,NOUSA,0,0
464553,2018,Trim. 4,diciembre,4,Residencial,689.69,NOUSA,1009.54,1
464585,2016,Trim. 4,noviembre,14,Residencial,1304.88,CIERR,-254.8,1
464586,2016,Trim. 4,noviembre,15,Residencial,495.87,CIERR,-438.64,1
464610,2019,Trim. 4,octubre,7,Residencial,1050,CAMEM,1302,1
464621,2016,Trim. 4,diciembre,5,Residencial,0,RAZON,0,0
464632,2019,Trim. 1,marzo,28,Residencial,4807.15,NOUSA,5816.65,1
464632,2018,Trim. 2,abril,11,Residencial,0,PROEC,0,0
464634,2019,Trim. 2,abril,9,Residencial,5287.87,MUDAN,6398.32,1
464636,2017,Trim. 3,agosto,30,Residencial,0,CAMBI,0,0
464640,2019,Trim. 3,septiembre,14,Residencial,329.09,INCOB,1194.6,1
464661,2018,Trim. 3,julio,27,Residencial,740.97,CIERR,0,1
464662,2017,Trim. 2,mayo,2,Residencial,0,CIERR,0,0
464663,2017,Trim. 4,octubre,31,Residencial,411.28,CIERR,339.11,1
464663,2017,Trim. 1,marzo,8,Residencial,0,PROEC,0,0
464664,2018,Trim. 3,septiembre,24,Residencial,0,RAZON,0,0
464672,2016,Trim. 1,febrero,23,Residencial,852.85,CIERR,0,1
464674,2018,Trim. 3,julio,20,Residencial,438.18999999999994,INCOB,1783.4,1
464675,2018,Trim. 3,agosto,24,Residencial,486.1,MUDAN,0,1
464676,2018,Trim. 3,julio,20,Residencial,398.35,INCOB,1369.46,1
464678,2018,Trim. 1,marzo,21,Residencial,0,DISCO,0,0
464679,2019,Trim. 2,junio,26,Residencial,745,CAMEM,0,1
464682,2017,Trim. 1,febrero,10,Residencial,0,DISCO,426.51,0
